user_id,timestamp,conversion_id,conversion_name
13026,1531121483,285724,visite
14117,1531120340,285724,visite
15472,1531119604,285724,visite
16213,1531119328,760041,vente
16970,1531120617,285724,visite
19319,1531120533,285724,visite
23965,1531120540,285724,visite
27599,1531119185,285724,visite
28571,1531119719,760041,vente
33747,1531120125,285724,visite
33922,1531119496,760041,vente
35330,1531120590,285724,visite
40324,1531119423,285724,visite
46838,1531119988,285724,visite
51071,1531121683,285724,visite
54160,1531119122,285724,visite
62480,1531120341,285724,visite
63132,1531121268,285724,visite
69374,1531119431,760041,vente
71025,1531119148,760041,vente
76759,1531120884,285724,visite
77810,1531121399,285724,visite
80598,1531119317,285724,visite
81993,1531119371,760041,vente
83149,1531120559,285724,visite
85082,1531120375,285724,visite
85122,1531119257,285724,visite
85123,1531119819,760041,vente
86847,1531119199,285724,visite
87319,1531119390,760041,vente
89929,1531119921,285724,visite
90912,1531121293,285724,visite
10962,1531119446,285724,visite
15698,1531119977,285724,visite
16280,1531120154,285724,visite
17740,1531119522,760041,vente
21797,1531121494,285724,visite
25491,1531119587,285724,visite
30747,1531120089,760041,vente
33908,1531121233,285724,visite
34726,1531119382,285724,visite
38918,1531120868,285724,visite
40571,1531120753,285724,visite
41513,1531119771,285724,visite
41854,1531120473,760041,vente
54494,1531119931,285724,visite
54782,1531120869,760041,vente
58676,1531120111,285724,visite
59118,1531119481,285724,visite
60137,1531121027,285724,visite
63308,1531121312,285724,visite
66968,1531121196,285724,visite
72025,1531121173,285724,visite
72145,1531121730,285724,visite
72261,1531120950,285724,visite
74007,1531121414,760041,vente
77143,1531121687,285724,visite
80917,1531121704,285724,visite
81729,1531119926,285724,visite
82912,1531119386,285724,visite
83537,1531121056,285724,visite
85217,1531121120,285724,visite
85881,1531119265,285724,visite
88592,1531119631,285724,visite
15139,1531119422,285724,visite
17220,1531120552,285724,visite
17849,1531121031,285724,visite
30780,1531121500,760041,vente
35795,1531119518,285724,visite
39206,1531121122,760041,vente
39304,1531120338,285724,visite
43316,1531120251,285724,visite
44877,1531120539,285724,visite
46035,1531121346,285724,visite
46956,1531120733,285724,visite
48072,1531121823,285724,visite
48217,1531121605,285724,visite
49508,1531121947,285724,visite
49609,1531119920,285724,visite
51064,1531120288,285724,visite
54329,1531119401,285724,visite
54907,1531119972,285724,visite
56156,1531120425,285724,visite
59545,1531121431,760041,vente
60836,1531120630,760041,vente
62066,1531119839,285724,visite
68339,1531121485,285724,visite
69742,1531120556,285724,visite
72555,1531121447,285724,visite
72753,1531120614,285724,visite
75194,1531120554,285724,visite
75924,1531119416,285724,visite
77215,1531120500,285724,visite
77784,1531121730,285724,visite
77990,1531121492,285724,visite
84105,1531120608,285724,visite
85172,1531121750,285724,visite
89326,1531120550,760041,vente
89600,1531121702,285724,visite
11427,1531129548,760041,vente
14483,1531129613,285724,visite
15660,1531128846,285724,visite
16407,1531129593,285724,visite
17706,1531127733,285724,visite
19705,1531127330,285724,visite
22371,1531129719,760041,vente
22567,1531129493,285724,visite
22922,1531129610,285724,visite
25850,1531129962,285724,visite
26381,1531129486,760041,vente
31146,1531128384,285724,visite
31946,1531127722,760041,vente
34911,1531128186,760041,vente
40633,1531128689,285724,visite
41149,1531129988,760041,vente
49157,1531128073,760041,vente
55816,1531129359,285724,visite
56877,1531128266,285724,visite
58475,1531129709,760041,vente
65097,1531129856,285724,visite
66354,1531128746,760041,vente
71501,1531129759,285724,visite
72372,1531129510,285724,visite
75568,1531127598,285724,visite
77196,1531128464,285724,visite
81258,1531129443,285724,visite
82312,1531128711,760041,vente
86295,1531129530,760041,vente
87488,1531129660,285724,visite
88254,1531129624,285724,visite
89699,1531129564,760041,vente
10058,1531129371,285724,visite
12578,1531127470,285724,visite
14851,1531128456,760041,vente
18273,1531127404,285724,visite
18991,1531128280,285724,visite
22268,1531128269,285724,visite
23578,1531129185,285724,visite
27785,1531129212,285724,visite
29838,1531129672,285724,visite
33003,1531129513,285724,visite
34722,1531128266,285724,visite
37436,1531129270,760041,vente
38474,1531129155,760041,vente
41805,1531128358,760041,vente
48437,1531128143,760041,vente
50551,1531128376,285724,visite
59382,1531127628,760041,vente
61522,1531128630,285724,visite
72864,1531128171,760041,vente
80124,1531128159,285724,visite
81494,1531129207,285724,visite
82402,1531128844,285724,visite
85005,1531129126,285724,visite
87218,1531128421,285724,visite
89708,1531128285,285724,visite
89828,1531128450,285724,visite
12374,1531127778,285724,visite
14500,1531127357,285724,visite
14868,1531129145,285724,visite
16994,1531127426,285724,visite
22418,1531129170,760041,vente
24215,1531128606,285724,visite
26152,1531129047,760041,vente
34995,1531127317,285724,visite
36838,1531127977,285724,visite
37110,1531128262,285724,visite
39072,1531128104,285724,visite
42593,1531127747,285724,visite
43077,1531128875,285724,visite
43131,1531127315,285724,visite
47604,1531129033,285724,visite
50501,1531129923,760041,vente
52268,1531127636,285724,visite
56050,1531127584,760041,vente
56553,1531130006,760041,vente
58213,1531129760,760041,vente
61159,1531129312,285724,visite
63686,1531129911,760041,vente
65259,1531127999,760041,vente
66667,1531129312,285724,visite
66752,1531128960,285724,visite
72821,1531128012,760041,vente
73796,1531128369,760041,vente
74215,1531127714,285724,visite
74966,1531128050,285724,visite
79922,1531127747,285724,visite
83230,1531128996,285724,visite
87351,1531127496,285724,visite
87659,1531127369,285724,visite
89256,1531127605,285724,visite
89509,1531129206,285724,visite
89801,1531127564,760041,vente
89826,1531127674,285724,visite
91162,1531129173,285724,visite
12185,1531122555,285724,visite
15210,1531122741,285724,visite
15730,1531122036,285724,visite
21290,1531123480,760041,vente
26784,1531123849,760041,vente
27222,1531124068,285724,visite
27802,1531123470,760041,vente
31007,1531122615,285724,visite
32224,1531123975,760041,vente
35529,1531122083,760041,vente
37200,1531122981,285724,visite
47560,1531123237,760041,vente
47936,1531122776,760041,vente
51486,1531123616,285724,visite
51861,1531122743,285724,visite
52086,1531123940,285724,visite
52296,1531123632,285724,visite
